order_detail_id,order_id,product_id,quantity,discount,customer_id,order_date,region,payment_method,product_name,category,subcategory,price,cost,customer_name,email,city,state,country,gross_sales,discount_amount,revenue,cost_amount,profit
29,19,29,3,0.0,576,2026-05-07,South,Cash on Delivery,Standard USB Drive,Accessories,Storage,4260.0,2300.0,Vivaan Rao,customer576@example.com,Kochi,Kerala,India,12780.0,0.0,12780.0,6900.0,5880.0
30,20,24,2,5.0,517,2026-04-07,South,UPI,Pro Mouse,Accessories,Computer Accessories,2550.0,1280.0,Ananya Iyer,customer517@example.com,Bengaluru,Karnataka,India,5100.0,255.0,4845.0,2560.0,2285.0
31,20,49,2,5.0,517,2026-04-07,South,UPI,Basic Calculator,Office Supplies,Stationery,2390.0,1340.0,Ananya Iyer,customer517@example.com,Bengaluru,Karnataka,India,4780.0,239.0,4541.0,2680.0,1861.0
32,21,29,2,20.0,276,2024-02-17,West,Credit Card,Standard USB Drive,Accessories,Storage,4260.0,2300.0,Vivaan Iyer,customer276@example.com,Udaipur,Rajasthan,India,8520.0,1704.0,6816.0,4600.0,2216.0
33,21,31,3,10.0,276,2024-02-17,West,Credit Card,Basic Office Chair,Furniture,Office Furniture,8540.0,5360.0,Vivaan Iyer,customer276@example.com,Udaipur,Rajasthan,India,25620.0,2562.0,23058.0,16080.0,6978.0
34,21,59,3,10.0,276,2024-02-17,West,Credit Card,Standard External SSD,Electronics,Storage,16910.0,13510.0,Vivaan Iyer,customer276@example.com,Udaipur,Rajasthan,India,50730.0,5073.0,45657.0,40530.0,5127.0
35,22,34,2,20.0,438,2025-06-21,East,Debit Card,Basic Office Desk,Furniture,Office Furniture,11630.0,7610.0,Meera Patel,customer438@example.com,Durgapur,West Bengal,India,23260.0,4652.0,18608.0,15220.0,3388.0
36,23,60,2,5.0,296,2024-08-23,South,UPI,Pro External SSD,Electronics,Storage,6490.0,3510.0,Praveen Joshi,customer296@example.com,Hyderabad,Telangana,India,12980.0,649.0,12331.0,7020.0,5311.0
37,23,35,2,10.0,296,2024-08-23,South,UPI,Standard Office Desk,Furniture,Office Furniture,34990.0,16990.0,Praveen Joshi,customer296@example.com,Hyderabad,Telangana,India,69980.0,6998.0,62982.0,33980.0,29002.0
38,24,59,1,0.0,38,2024-07-29,South,Debit Card,Standard External SSD,Electronics,Storage,16910.0,13510.0,Kavya Naidu,customer38@example.com,Bengaluru,Karnataka,India,16910.0,0.0,16910.0,13510.0,3400.0
39,25,57,1,0.0,639,2026-07-26,West,Net Banking,Pro Desk Lamp,Furniture,Office Accessories,2610.0,1720.0,Sneha Singh,customer639@example.com,Vadodara,Gujarat,India,2610.0,0.0,2610.0,1720.0,890.0
40,25,43,1,10.0,639,2026-07-26,West,Net Banking,Basic Pen Pack,Office Supplies,Stationery,190.0,130.0,Sneha Singh,customer639@example.com,Vadodara,Gujarat,India,190.0,19.0,171.0,130.0,41.0
41,26,16,1,5.0,974,2026-08-10,North,UPI,Basic Tablet,Electronics,Mobiles,18350.0,14200.0,Rahul Gupta,customer974@example.com,New Delhi,Delhi,India,18350.0,917.5,17432.5,14200.0,3232.5
42,26,34,1,5.0,974,2026-08-10,North,UPI,Basic Office Desk,Furniture,Office Furniture,11630.0,7610.0,Rahul Gupta,customer974@example.com,New Delhi,Delhi,India,11630.0,581.5,11048.5,7610.0,3438.5
43,26,20,3,15.0,974,2026-08-10,North,UPI,Standard Keyboard,Accessories,Computer Accessories,5930.0,3350.0,Rahul Gupta,customer974@example.com,New Delhi,Delhi,India,17790.0,2668.5,15121.5,10050.0,5071.5
44,27,7,1,10.0,968,2025-04-16,South,Credit Card,Basic Monitor,Electronics,Computers,8250.0,5920.0,Ananya Naidu,customer968@example.com,Mangaluru,Karnataka,India,8250.0,825.0,7425.0,5920.0,1505.0
45,27,13,4,0.0,968,2025-04-16,South,Credit Card,Basic Printer,Electronics,Office Tech,27360.0,14070.0,Ananya Naidu,customer968@example.com,Mangaluru,Karnataka,India,109440.0,0.0,109440.0,56280.0,53160.0
46,27,8,2,10.0,968,2025-04-16,South,Credit Card,Standard Monitor,Electronics,Computers,37290.0,24560.0,Ananya Naidu,customer968@example.com,Mangaluru,Karnataka,India,74580.0,7458.0,67122.0,49120.0,18002.0
47,28,17,1,15.0,984,2026-06-07,North,Credit Card,Standard Tablet,Electronics,Mobiles,26570.0,15630.0,Ananya Mishra,customer984@example.com,Noida,Uttar Pradesh,India,26570.0,3985.5,22584.5,15630.0,6954.5
48,29,42,1,0.0,208,2024-01-08,South,UPI,Pro Notebook,Office Supplies,Stationery,460.0,220.0,Rahul Nair,customer208@example.com,Madurai,Tamil Nadu,India,460.0,0.0,460.0,220.0,240.0
49,30,1,1,20.0,800,2024-06-12,South,Credit Card,Basic Laptop,Electronics,Computers,46100.0,33920.0,Kiran Gupta,customer800@example.com,Bengaluru,Karnataka,India,46100.0,9220.0,36880.0,33920.0,2960.0
50,30,27,4,5.0,800,2024-06-12,South,Credit Card,Pro Webcam,Accessories,Computer Accessories,4930.0,3140.0,Kiran Gupta,customer800@example.com,Bengaluru,Karnataka,India,19720.0,986.0,18734.0,12560.0,6174.0
51,31,8,1,0.0,809,2026-06-19,West,Net Banking,Standard Monitor,Electronics,Computers,37290.0,24560.0,Anjali Patel,customer809@example.com,Jodhpur,Rajasthan,India,37290.0,0.0,37290.0,24560.0,12730.0
52,31,21,3,10.0,809,2026-06-19,West,Net Banking,Pro Keyboard,Accessories,Computer Accessories,2940.0,1810.0,Anjali Patel,customer809@example.com,Jodhpur,Rajasthan,India,8820.0,882.0,7938.0,5430.0,2508.0
53,32,6,2,0.0,656,2024-09-18,West,Net Banking,Pro Smartphone,Electronics,Mobiles,44590.0,25980.0,Kavya Das,customer656@example.com,Jodhpur,Rajasthan,India,89180.0,0.0,89180.0,51960.0,37220.0
54,33,46,3,0.0,868,2024-01-30,West,Credit Card,Basic Printer Paper,Office Supplies,Paper,770.0,360.0,Kavya Gupta,customer868@example.com,Jaipur,Rajasthan,India,2310.0,0.0,2310.0,1080.0,1230.0
55,33,28,3,20.0,868,2024-01-30,West,Credit Card,Basic USB Drive,Accessories,Storage,1170.0,630.0,Kavya Gupta,customer868@example.com,Jaipur,Rajasthan,India,3510.0,702.0,2808.0,1890.0,918.0
56,34,54,2,10.0,321,2025-07-12,South,UPI,Pro Backpack,Accessories,Bags,3340.0,2580.0,Aarav Mishra,customer321@example.com,Kozhikode,Kerala,India,6680.0,668.0,6012.0,5160.0,852.0
57,34,7,2,10.0,321,2025-07-12,South,UPI,Basic Monitor,Electronics,Computers,8250.0,5920.0,Aarav Mishra,customer321@example.com,Kozhikode,Kerala,India,16500.0,1650.0,14850.0,11840.0,3010.0
58,35,30,2,5.0,569,2024-03-18,East,Credit Card,Pro USB Drive,Accessories,Storage,4200.0,2680.0,Arjun Reddy,customer569@example.com,Gaya,Bihar,India,8400.0,420.0,7980.0,5360.0,2620.0
59,35,54,1,15.0,569,2024-03-18,East,Credit Card,Pro Backpack,Accessories,Bags,3340.0,2580.0,Arjun Reddy,customer569@example.com,Gaya,Bihar,India,3340.0,501.0,2839.0,2580.0,259.0
60,36,18,1,10.0,245,2024-10-13,North,UPI,Pro Tablet,Electronics,Mobiles,22530.0,11300.0,Divya Chowdhury,customer245@example.com,Ludhiana,Punjab,India,22530.0,2253.0,20277.0,11300.0,8977.0
61,36,19,2,10.0,245,2024-10-13,North,UPI,Basic Keyboard,Accessories,Computer Accessories,3670.0,1820.0,Divya Chowdhury,customer245@example.com,Ludhiana,Punjab,India,7340.0,734.0,6606.0,3640.0,2966.0
62,37,2,2,5.0,476,2024-02-21,North,Credit Card,Standard Laptop,Electronics,Computers,66030.0,42660.0,Kavya Gupta,customer476@example.com,New Delhi,Delhi,India,132060.0,6603.0,125457.0,85320.0,40137.0
63,37,16,2,5.0,476,2024-02-21,North,Credit Card,Basic Tablet,Electronics,Mobiles,18350.0,14200.0,Kavya Gupta,customer476@example.com,New Delhi,Delhi,India,36700.0,1835.0,34865.0,28400.0,6465.0
64,38,53,1,5.0,305,2024-01-07,North,Credit Card,Standard Backpack,Accessories,Bags,3160.0,1910.0,Vikram Iyer,customer305@example.com,New Delhi,Delhi,India,3160.0,158.0,3002.0,1910.0,1092.0
65,39,49,2,5.0,292,2026-08-03,South,Credit Card,Basic Calculator,Office Supplies,Stationery,2390.0,1340.0,Pooja Verma,customer292@example.com,Thiruvananthapuram,Kerala,India,4780.0,239.0,4541.0,2680.0,1861.0
66,39,15,2,0.0,292,2026-08-03,South,Credit Card,Pro Printer,Electronics,Office Tech,8120.0,3940.0,Pooja Verma,customer292@example.com,Thiruvananthapuram,Kerala,India,16240.0,0.0,16240.0,7880.0,8360.0
67,40,56,1,10.0,172,2026-08-07,South,UPI,Standard Desk Lamp,Furniture,Office Accessories,4550.0,2480.0,Priya Nair,customer172@example.com,Madurai,Tamil Nadu,India,4550.0,455.0,4095.0,2480.0,1615.0
68,41,48,3,10.0,333,2024-07-13,North,Net Banking,Pro Printer Paper,Office Supplies,Paper,280.0,220.0,Pooja Iyer,customer333@example.com,Faridabad,Haryana,India,840.0,84.0,756.0,660.0,96.0
69,41,54,2,5.0,333,2024-07-13,North,Net Banking,Pro Backpack,Accessories,Bags,3340.0,2580.0,Pooja Iyer,customer333@example.com,Faridabad,Haryana,India,6680.0,334.0,6346.0,5160.0,1186.0
70,42,17,1,0.0,831,2025-08-10,South,UPI,Standard Tablet,Electronics,Mobiles,26570.0,15630.0,Praveen Singh,customer831@example.com,Coimbatore,Tamil Nadu,India,26570.0,0.0,26570.0,15630.0,10940.0
71,43,35,1,5.0,88,2026-06-01,South,Net Banking,Standard Office Desk,Furniture,Office Furniture,34990.0,16990.0,Pooja Reddy,customer88@example.com,Warangal,Telangana,India,34990.0,1749.5,33240.5,16990.0,16250.5
72,44,11,1,15.0,481,2026-07-18,South,UPI,Standard Headphones,Electronics,Audio,10860.0,7010.0,Rahul Mishra,customer481@example.com,Visakhapatnam,Andhra Pradesh,India,10860.0,1629.0,9231.0,7010.0,2221.0
73,44,54,1,5.0,481,2026-07-18,South,UPI,Pro Backpack,Accessories,Bags,3340.0,2580.0,Rahul Mishra,customer481@example.com,Visakhapatnam,Andhra Pradesh,India,3340.0,167.0,3173.0,2580.0,593.0
74,45,34,1,15.0,758,2026-04-03,West,Cash on Delivery,Basic Office Desk,Furniture,Office Furniture,11630.0,7610.0,Kavya Kumar,customer758@example.com,Vadodara,Gujarat,India,11630.0,1744.5,9885.5,7610.0,2275.5
75,45,43,3,10.0,758,2026-04-03,West,Cash on Delivery,Basic Pen Pack,Office Supplies,Stationery,190.0,130.0,Kavya Kumar,customer758@example.com,Vadodara,Gujarat,India,570.0,57.0,513.0,390.0,123.0
76,46,57,3,10.0,921,2025-06-01,East,Debit Card,Pro Desk Lamp,Furniture,Office Accessories,2610.0,1720.0,Vikram Gupta,customer921@example.com,Cuttack,Odisha,India,7830.0,783.0,7047.0,5160.0,1887.0
77,46,15,1,15.0,921,2025-06-01,East,Debit Card,Pro Printer,Electronics,Office Tech,8120.0,3940.0,Vikram Gupta,customer921@example.com,Cuttack,Odisha,India,8120.0,1218.0,6902.0,3940.0,2962.0
78,46,40,2,10.0,921,2025-06-01,East,Debit Card,Basic Notebook,Office Supplies,Stationery,380.0,190.0,Vikram Gupta,customer921@example.com,Cuttack,Odisha,India,760.0,76.0,684.0,380.0,304.0
79,47,20,5,5.0,415,2024-04-04,South,Net Banking,Standard Keyboard,Accessories,Computer Accessories,5930.0,3350.0,Sanjay Gupta,customer415@example.com,Vijayawada,Andhra Pradesh,India,29650.0,1482.5,28167.5,16750.0,11417.5
80,47,12,4,5.0,415,2024-04-04,South,Net Banking,Pro Headphones,Electronics,Audio,2790.0,1420.0,Sanjay Gupta,customer415@example.com,Vijayawada,Andhra Pradesh,India,11160.0,558.0,10602.0,5680.0,4922.0
81,48,14,1,10.0,617,2024-06-13,Central,UPI,Standard Printer,Electronics,Office Tech,27480.0,16430.0,Vivaan Reddy,customer617@example.com,Indore,Madhya Pradesh,India,27480.0,2748.0,24732.0,16430.0,8302.0
82,49,31,1,15.0,68,2025-05-08,North,Credit Card,Basic Office Chair,Furniture,Office Furniture,8540.0,5360.0,Kiran Verma,customer68@example.com,Amritsar,Punjab,India,8540.0,1281.0,7259.0,5360.0,1899.0
83,49,59,1,5.0,68,2025-05-08,North,Credit Card,Standard External SSD,Electronics,Storage,16910.0,13510.0,Kiran Verma,customer68@example.com,Amritsar,Punjab,India,16910.0,845.5,16064.5,13510.0,2554.5
84,49,58,3,15.0,68,2025-05-08,North,Credit Card,Basic External SSD,Electronics,Storage,19790.0,14490.0,Kiran Verma,customer68@example.com,Amritsar,Punjab,India,59370.0,8905.5,50464.5,43470.0,6994.5
85,50,28,4,15.0,171,2024-09-29,South,Net Banking,Basic USB Drive,Accessories,Storage,1170.0,630.0,Divya Singh,customer171@example.com,Kozhikode,Kerala,India,4680.0,702.0,3978.0,2520.0,1458.0
86,50,8,2,15.0,171,2024-09-29,South,Net Banking,Standard Monitor,Electronics,Computers,37290.0,24560.0,Divya Singh,customer171@example.com,Kozhikode,Kerala,India,74580.0,11187.0,63393.0,49120.0,14273.0
87,50,42,1,5.0,171,2024-09-29,South,Net Banking,Pro Notebook,Office Supplies,Stationery,460.0,220.0,Divya Singh,customer171@example.com,Kozhikode,Kerala,India,460.0,23.0,437.0,220.0,217.0
88,51,43,2,10.0,270,2024-06-28,South,Debit Card,Basic Pen Pack,Office Supplies,Stationery,190.0,130.0,Anjali Nair,customer270@example.com,Coimbatore,Tamil Nadu,India,380.0,38.0,342.0,260.0,82.0
89,52,40,1,5.0,954,2025-12-15,East,UPI,Basic Notebook,Office Supplies,Stationery,380.0,190.0,Isha Sharma,customer954@example.com,Durgapur,West Bengal,India,380.0,19.0,361.0,190.0,171.0
90,53,53,5,10.0,408,2024-07-07,West,Debit Card,Standard Backpack,Accessories,Bags,3160.0,1910.0,Vikram Kumar,customer408@example.com,Pune,Maharashtra,India,15800.0,1580.0,14220.0,9550.0,4670.0
91,54,4,1,10.0,674,2025-07-09,North,Debit Card,Basic Smartphone,Electronics,Mobiles,14820.0,10940.0,Arjun Kumar,customer674@example.com,New Delhi,Delhi,India,14820.0,1482.0,13338.0,10940.0,2398.0
92,55,37,2,5.0,85,2024-08-01,East,Cash on Delivery,Basic Bookshelf,Furniture,Storage Furniture,14740.0,10420.0,Vikram Patel,customer85@example.com,Bhubaneswar,Odisha,India,29480.0,1474.0,28006.0,20840.0,7166.0
93,55,4,3,0.0,85,2024-08-01,East,Cash on Delivery,Basic Smartphone,Electronics,Mobiles,14820.0,10940.0,Vikram Patel,customer85@example.com,Bhubaneswar,Odisha,India,44460.0,0.0,44460.0,32820.0,11640.0
94,56,60,2,0.0,586,2024-04-19,North,Net Banking,Pro External SSD,Electronics,Storage,6490.0,3510.0,Priya Naidu,customer586@example.com,New Delhi,Delhi,India,12980.0,0.0,12980.0,7020.0,5960.0
95,57,17,1,20.0,797,2024-09-15,East,Net Banking,Standard Tablet,Electronics,Mobiles,26570.0,15630.0,Priya Sharma,customer797@example.com,Cuttack,Odisha,India,26570.0,5314.0,21256.0,15630.0,5626.0
96,57,49,1,20.0,797,2024-09-15,East,Net Banking,Basic Calculator,Office Supplies,Stationery,2390.0,1340.0,Priya Sharma,customer797@example.com,Cuttack,Odisha,India,2390.0,478.0,1912.0,1340.0,572.0
97,58,31,2,0.0,616,2024-12-01,East,Net Banking,Basic Office Chair,Furniture,Office Furniture,8540.0,5360.0,Sanjay Das,customer616@example.com,Cuttack,Odisha,India,17080.0,0.0,17080.0,10720.0,6360.0
98,59,45,1,15.0,434,2024-07-25,North,UPI,Pro Pen Pack,Office Supplies,Stationery,40.0,30.0,Aditya Joshi,customer434@example.com,Gurugram,Haryana,India,40.0,6.0,34.0,30.0,4.0
99,59,59,1,15.0,434,2024-07-25,North,UPI,Standard External SSD,Electronics,Storage,16910.0,13510.0,Aditya Joshi,customer434@example.com,Gurugram,Haryana,India,16910.0,2536.5,14373.5,13510.0,863.5
100,59,50,2,0.0,434,2024-07-25,North,UPI,Standard Calculator,Office Supplies,Stationery,460.0,330.0,Aditya Joshi,customer434@example.com,Gurugram,Haryana,India,920.0,0.0,920.0,660.0,260.0
101,60,54,3,5.0,668,2025-06-11,North,Credit Card,Pro Backpack,Accessories,Bags,3340.0,2580.0,Isha Kumar,customer668@example.com,Noida,Uttar Pradesh,India,10020.0,501.0,9519.0,7740.0,1779.0
102,61,8,1,0.0,533,2024-04-01,West,Cash on Delivery,Standard Monitor,Electronics,Computers,37290.0,24560.0,Vivaan Gupta,customer533@example.com,Udaipur,Rajasthan,India,37290.0,0.0,37290.0,24560.0,12730.0
103,61,30,5,15.0,533,2024-04-01,West,Cash on Delivery,Pro USB Drive,Accessories,Storage,4200.0,2680.0,Vivaan Gupta,customer533@example.com,Udaipur,Rajasthan,India,21000.0,3150.0,17850.0,13400.0,4450.0
104,61,11,2,10.0,533,2024-04-01,West,Cash on Delivery,Standard Headphones,Electronics,Audio,10860.0,7010.0,Vivaan Gupta,customer533@example.com,Udaipur,Rajasthan,India,21720.0,2172.0,19548.0,14020.0,5528.0
105,61,56,1,5.0,533,2024-04-01,West,Cash on Delivery,Standard Desk Lamp,Furniture,Office Accessories,4550.0,2480.0,Vivaan Gupta,customer533@example.com,Udaipur,Rajasthan,India,4550.0,227.5,4322.5,2480.0,1842.5
106,62,36,1,15.0,14,2026-04-16,South,Credit Card,Pro Office Desk,Furniture,Office Furniture,29870.0,15610.0,Sanjay Rao,customer14@example.com,Hyderabad,Telangana,India,29870.0,4480.5,25389.5,15610.0,9779.5
107,62,39,1,0.0,14,2026-04-16,South,Credit Card,Pro Bookshelf,Furniture,Storage Furniture,14890.0,9110.0,Sanjay Rao,customer14@example.com,Hyderabad,Telangana,India,14890.0,0.0,14890.0,9110.0,5780.0
108,62,53,1,0.0,14,2026-04-16,South,Credit Card,Standard Backpack,Accessories,Bags,3160.0,1910.0,Sanjay Rao,customer14@example.com,Hyderabad,Telangana,India,3160.0,0.0,3160.0,1910.0,1250.0
109,62,13,1,0.0,14,2026-04-16,South,Credit Card,Basic Printer,Electronics,Office Tech,27360.0,14070.0,Sanjay Rao,customer14@example.com,Hyderabad,Telangana,India,27360.0,0.0,27360.0,14070.0,13290.0
110,63,36,1,20.0,463,2024-03-28,North,UPI,Pro Office Desk,Furniture,Office Furniture,29870.0,15610.0,Ananya Reddy,customer463@example.com,New Delhi,Delhi,India,29870.0,5974.0,23896.0,15610.0,8286.0
111,63,11,4,15.0,463,2024-03-28,North,UPI,Standard Headphones,Electronics,Audio,10860.0,7010.0,Ananya Reddy,customer463@example.com,New Delhi,Delhi,India,43440.0,6516.0,36924.0,28040.0,8884.0
112,64,18,1,5.0,869,2024-06-16,South,Debit Card,Pro Tablet,Electronics,Mobiles,22530.0,11300.0,Kavya Verma,customer869@example.com,Coimbatore,Tamil Nadu,India,22530.0,1126.5,21403.5,11300.0,10103.5
113,65,26,1,10.0,70,2026-03-19,South,UPI,Standard Webcam,Accessories,Computer Accessories,7230.0,5460.0,Kiran Mishra,customer70@example.com,Mangaluru,Karnataka,India,7230.0,723.0,6507.0,5460.0,1047.0
114,65,31,1,5.0,70,2026-03-19,South,UPI,Basic Office Chair,Furniture,Office Furniture,8540.0,5360.0,Kiran Mishra,customer70@example.com,Mangaluru,Karnataka,India,8540.0,427.0,8113.0,5360.0,2753.0
115,66,46,4,20.0,559,2025-07-18,East,UPI,Basic Printer Paper,Office Supplies,Paper,770.0,360.0,Pooja Patel,customer559@example.com,Durgapur,West Bengal,India,3080.0,616.0,2464.0,1440.0,1024.0
116,67,50,3,5.0,389,2024-08-05,Central,Debit Card,Standard Calculator,Office Supplies,Stationery,460.0,330.0,Pooja Rao,customer389@example.com,Indore,Madhya Pradesh,India,1380.0,69.0,1311.0,990.0,321.0
117,67,23,1,10.0,389,2024-08-05,Central,Debit Card,Standard Mouse,Accessories,Computer Accessories,2320.0,1120.0,Pooja Rao,customer389@example.com,Indore,Madhya Pradesh,India,2320.0,232.0,2088.0,1120.0,968.0
118,68,19,1,15.0,216,2025-08-24,North,Credit Card,Basic Keyboard,Accessories,Computer Accessories,3670.0,1820.0,Kavya Sharma,customer216@example.com,Amritsar,Punjab,India,3670.0,550.5,3119.5,1820.0,1299.5
119,69,38,1,10.0,271,2026-01-30,East,Credit Card,Standard Bookshelf,Furniture,Storage Furniture,7510.0,4240.0,Aditya Nair,customer271@example.com,Durgapur,West Bengal,India,7510.0,751.0,6759.0,4240.0,2519.0
120,69,36,2,10.0,271,2026-01-30,East,Credit Card,Pro Office Desk,Furniture,Office Furniture,29870.0,15610.0,Aditya Nair,customer271@example.com,Durgapur,West Bengal,India,59740.0,5974.0,53766.0,31220.0,22546.0
121,69,31,2,10.0,271,2026-01-30,East,Credit Card,Basic Office Chair,Furniture,Office Furniture,8540.0,5360.0,Aditya Nair,customer271@example.com,Durgapur,West Bengal,India,17080.0,1708.0,15372.0,10720.0,4652.0
122,70,32,1,15.0,39,2024-10-11,West,UPI,Standard Office Chair,Furniture,Office Furniture,18550.0,9870.0,Rahul Das,customer39@example.com,Vadodara,Gujarat,India,18550.0,2782.5,15767.5,9870.0,5897.5
